God of War (2018),PS4,SIE Santa Monica Studio,Ação/Aventura,2018,RISCO_BAIXO,ORIGINAL,NAO_POSSUI,5,30.00,85.00,Versão nacional. Mídia em ótimo estado.
The Last of Us Part II,PS4,Naughty Dog,Ação/Aventura,2020,RISCO_MODERADO,ORIGINAL,NAO_POSSUI,2,40.00,99.90,Capa com leve amassado.
Grand Theft Auto V,PS4,Rockstar North,Ação/Aventura,2014,RISCO_BAIXO,ORIGINAL,DLC,10,15.00,55.50,Item best-seller, DLC resgatada.
Red Dead Redemption 2,PS4,Rockstar Games,Ação/Aventura,2018,RISCO_BAIXO,ORIGINAL,NAO_POSSUI,3,50.00,120.00,Acompanha mapa.
Cyberpunk 2077,PS4,CD Projekt Red,RPG/Futurista,2020,RISCO_BAIXO,REPRODUCAO,SOUNDTRACK_CD,1,60.00,110.00,Edição de colecionador, sem código de DLC.
FIFA 23,PS5,EA Vancouver,Esportes,2022,RISCO_BAIXO,ORIGINAL,NAO_POSSUI,15,5.00,35.00,Jogo de alta rotatividade.
Elden Ring,PS5,FromSoftware,RPG/Ação,2022,LACRADO_COLECIONADOR,ORIGINAL,ARTBOOK_MINI,4,80.00,189.00,Lançamento. Item lacrado.
Horizon Zero Dawn,PS4,Guerrilla Games,RPG/Ação,2017,RISCO_MODERADO,ORIGINAL,NAO_POSSUI,7,20.00,65.00,Versão "Complete Edition".
Bloodborne,PS4,FromSoftware,RPG/Ação,2015,RISCO_BAIXO,ORIGINAL,NAO_POSSUI,2,45.00,105.00,Clássico, alta demanda.
The Witcher 3: Wild Hunt,PS4,CD Projekt Red,RPG,2015,RISCO_BAIXO,ORIGINAL,NAO_POSSUI,6,25.00,75.00,Mídia perfeita.
